Testing v8 version different from logging version
Statistical profiling result from typescript272-isolate-0x55f0275101c0-v8.log, (5169 ticks, 86 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
   1831   35.4%          /usr/local/bin/node
   1419   27.5%          /lib/ld-musl-x86_64.so.1
    240    4.6%          [vdso]
      2    0.0%          /usr/lib/libstdc++.so.6.0.22

 [JavaScript]:
   ticks  total  nonlib   name
      4    0.1%    0.2%  LazyCompile: ~checkSignatureDeclaration /app/node_modules/typescript/lib/tsc.js:34620:43
      4    0.1%    0.2%  LazyCompile: ~checkParameter /app/node_modules/typescript/lib/tsc.js:34511:32
      4    0.1%    0.2%  LazyCompile: ~checkInterfaceDeclaration /app/node_modules/typescript/lib/tsc.js:37095:43
      4    0.1%    0.2%  LazyCompile: ~bindParameter /app/node_modules/typescript/lib/tsc.js:17715:31
      4    0.1%    0.2%  LazyCompile: ~addJSDocComment /app/node_modules/typescript/lib/tsc.js:11094:33
      4    0.1%    0.2%  LazyCompile: ~addInheritedMembers /app/node_modules/typescript/lib/tsc.js:23673:37
      4    0.1%    0.2%  LazyCompile: *parseTokenNode /app/node_modules/typescript/lib/tsc.js:11325:32
      4    0.1%    0.2%  LazyCompile: *needCollisionCheckForIdentifier /app/node_modules/typescript/lib/tsc.js:35887:49
      4    0.1%    0.2%  LazyCompile: *iterateCommentRanges /app/node_modules/typescript/lib/tsc.js:4376:34
      4    0.1%    0.2%  LazyCompile: *getNodeLinks /app/node_modules/typescript/lib/tsc.js:20309:30
      4    0.1%    0.2%  LazyCompile: *getDeclarationModifierFlagsFromSymbol /app/node_modules/typescript/lib/tsc.js:8596:51
      4    0.1%    0.2%  LazyCompile: *forEach /app/node_modules/typescript/lib/tsc.js:257:21
      4    0.1%    0.2%  LazyCompile: *createIdentifier /app/node_modules/typescript/lib/tsc.js:11402:34
      4    0.1%    0.2%  LazyCompile: *checkVariableLikeDeclaration /app/node_modules/typescript/lib/tsc.js:36076:46
      4    0.1%    0.2%  Builtin: CompileLazy
      3    0.1%    0.2%  LazyCompile: ~tryGetDeclaredTypeOfSymbol /app/node_modules/typescript/lib/tsc.js:23593:44
      3    0.1%    0.2%  LazyCompile: ~resolveObjectTypeMembers /app/node_modules/typescript/lib/tsc.js:23822:42
      3    0.1%    0.2%  LazyCompile: ~realpathSync fs.js:1579:40
      3    0.1%    0.2%  LazyCompile: ~parseTagComments /app/node_modules/typescript/lib/tsc.js:15101:42
      3    0.1%    0.2%  LazyCompile: ~normalizePathAndParts /app/node_modules/typescript/lib/tsc.js:1649:35
      3    0.1%    0.2%  LazyCompile: ~isConflictMarkerTrivia /app/node_modules/typescript/lib/tsc.js:4327:36
      3    0.1%    0.2%  LazyCompile: ~isBindingPattern /app/node_modules/typescript/lib/tsc.js:10028:30
      3    0.1%    0.2%  LazyCompile: ~getUnmatchedProperty /app/node_modules/typescript/lib/tsc.js:28368:38
      3    0.1%    0.2%  LazyCompile: ~getTypeFromTypeAliasReference /app/node_modules/typescript/lib/tsc.js:25118:47
      3    0.1%    0.2%  LazyCompile: ~getPropertyOfType /app/node_modules/typescript/lib/tsc.js:24512:35
      3    0.1%    0.2%  LazyCompile: ~getOuterTypeParameters /app/node_modules/typescript/lib/tsc.js:23187:40
      3    0.1%    0.2%  LazyCompile: ~getFunctionFlags /app/node_modules/typescript/lib/tsc.js:7346:30
      3    0.1%    0.2%  LazyCompile: ~getDeclarationModifierFlagsFromSymbol /app/node_modules/typescript/lib/tsc.js:8596:51
      3    0.1%    0.2%  LazyCompile: ~getApparentType /app/node_modules/typescript/lib/tsc.js:24428:33
      3    0.1%    0.2%  LazyCompile: ~getAnonymousTypeInstantiation /app/node_modules/typescript/lib/tsc.js:26310:47
      3    0.1%    0.2%  LazyCompile: ~createTypeReference /app/node_modules/typescript/lib/tsc.js:25052:37
      3    0.1%    0.2%  LazyCompile: ~computeLineStarts /app/node_modules/typescript/lib/tsc.js:4131:31
      3    0.1%    0.2%  LazyCompile: ~checkTypeReferenceNode /app/node_modules/typescript/lib/tsc.js:34960:40
      3    0.1%    0.2%  LazyCompile: ~checkModuleDeclaration /app/node_modules/typescript/lib/tsc.js:37354:40
      3    0.1%    0.2%  LazyCompile: ~checkGrammarVariableDeclaration /app/node_modules/typescript/lib/tsc.js:39873:49
      3    0.1%    0.2%  LazyCompile: ~checkGrammarProperty /app/node_modules/typescript/lib/tsc.js:40022:38
      3    0.1%    0.2%  LazyCompile: ~checkCollisionWithRequireExportsInGeneratedCode /app/node_modules/typescript/lib/tsc.js:35964:65
      3    0.1%    0.2%  LazyCompile: ~bindContainer /app/node_modules/typescript/lib/tsc.js:16108:31
      3    0.1%    0.2%  LazyCompile: ~binarySearch /app/node_modules/typescript/lib/tsc.js:1018:26
      3    0.1%    0.2%  LazyCompile: ~ConvertToString native array.js:132:25
      3    0.1%    0.2%  LazyCompile: *parseTypeMember /app/node_modules/typescript/lib/tsc.js:12272:33
      3    0.1%    0.2%  LazyCompile: *parseDelimitedList /app/node_modules/typescript/lib/tsc.js:11873:36
      3    0.1%    0.2%  LazyCompile: *isRelatedTo /app/node_modules/typescript/lib/tsc.js:26873:33
      3    0.1%    0.2%  LazyCompile: *getSymbolOfNode /app/node_modules/typescript/lib/tsc.js:21302:33
      3    0.1%    0.2%  LazyCompile: *getSymbol /app/node_modules/typescript/lib/tsc.js:20316:27
      3    0.1%    0.2%  LazyCompile: *getMembersOfSymbol /app/node_modules/typescript/lib/tsc.js:23788:36
      3    0.1%    0.2%  LazyCompile: *forEachChild /app/node_modules/typescript/lib/tsc.js:10519:26
      3    0.1%    0.2%  LazyCompile: *createUnionOrIntersectionProperty /app/node_modules/typescript/lib/tsc.js:24438:51
      3    0.1%    0.2%  LazyCompile: *createNodeWithJSDoc /app/node_modules/typescript/lib/tsc.js:11354:37
      3    0.1%    0.2%  LazyCompile: *bind /app/node_modules/typescript/lib/tsc.js:17245:22
      3    0.1%    0.2%  Builtin: InterpreterPushUndefinedAndArgsThenCall
      2    0.0%    0.1%  Stub: StringAddStub
      2    0.0%    0.1%  Stub: RecordWriteStub {1}
      2    0.0%    0.1%  Stub: InternalArraySingleArgumentConstructorStub
      2    0.0%    0.1%  Stub: CEntryStub
      2    0.0%    0.1%  StoreIC: A store IC from the snapshot {1}
      2    0.0%    0.1%  LazyCompile: ~signaturesRelatedTo /app/node_modules/typescript/lib/tsc.js:27498:41
      2    0.0%    0.1%  LazyCompile: ~resolveStructuredTypeMembers /app/node_modules/typescript/lib/tsc.js:24213:46
      2    0.0%    0.1%  LazyCompile: ~resolveNamesWithLocalCache /app/node_modules/typescript/lib/tsc.js:61505:44
      2    0.0%    0.1%  LazyCompile: ~resolveAnonymousTypeMembers /app/node_modules/typescript/lib/tsc.js:24046:45
      2    0.0%    0.1%  LazyCompile: ~readFile /app/node_modules/typescript/lib/tsc.js:2679:30
      2    0.0%    0.1%  LazyCompile: ~parseTypeWorker /app/node_modules/typescript/lib/tsc.js:12621:33
      2    0.0%    0.1%  LazyCompile: ~parseTypeReference /app/node_modules/typescript/lib/tsc.js:12009:36
      2    0.0%    0.1%  LazyCompile: ~parseTypeOperatorOrHigher /app/node_modules/typescript/lib/tsc.js:12523:43
      2    0.0%    0.1%  LazyCompile: ~parseStatement /app/node_modules/typescript/lib/tsc.js:14047:32
      2    0.0%    0.1%  LazyCompile: ~parseParameterList /app/node_modules/typescript/lib/tsc.js:12162:36
      2    0.0%    0.1%  LazyCompile: ~parseList /app/node_modules/typescript/lib/tsc.js:11651:27
      2    0.0%    0.1%  LazyCompile: ~parseJSDocEntityName /app/node_modules/typescript/lib/tsc.js:15485:46
      2    0.0%    0.1%  LazyCompile: ~parseDelimitedList /app/node_modules/typescript/lib/tsc.js:11873:36
      2    0.0%    0.1%  LazyCompile: ~parseAnyContextualModifier /app/node_modules/typescript/lib/tsc.js:11478:44
      2    0.0%    0.1%  LazyCompile: ~needCollisionCheckForIdentifier /app/node_modules/typescript/lib/tsc.js:35887:49
      2    0.0%    0.1%  LazyCompile: ~isTypeParameterSymbolDeclaredInContainer /app/node_modules/typescript/lib/tsc.js:20662:58
      2    0.0%    0.1%  LazyCompile: ~isTypeParameterPossiblyReferenced /app/node_modules/typescript/lib/tsc.js:26341:51
      2    0.0%    0.1%  LazyCompile: ~isRestParameter /app/node_modules/typescript/lib/tsc.js:7070:29
      2    0.0%    0.1%  LazyCompile: ~isModifierKind /app/node_modules/typescript/lib/tsc.js:9857:28
      2    0.0%    0.1%  LazyCompile: ~isLet /app/node_modules/typescript/lib/tsc.js:6194:19
      2    0.0%    0.1%  LazyCompile: ~isIdentifier /app/node_modules/typescript/lib/tsc.js:11280:30
      2    0.0%    0.1%  LazyCompile: ~isCatchClauseVariableDeclarationOrBindingElement /app/node_modules/typescript/lib/tsc.js:5946:62
      2    0.0%    0.1%  LazyCompile: ~hasQuestionToken /app/node_modules/typescript/lib/tsc.js:6949:30
      2    0.0%    0.1%  LazyCompile: ~hasModifier /app/node_modules/typescript/lib/tsc.js:8240:25
      2    0.0%    0.1%  LazyCompile: ~getUnionType /app/node_modules/typescript/lib/tsc.js:25553:30
      2    0.0%    0.1%  LazyCompile: ~getTypeReferenceType /app/node_modules/typescript/lib/tsc.js:25156:38
      2    0.0%    0.1%  LazyCompile: ~getTypeOfVariableOrParameterOrProperty /app/node_modules/typescript/lib/tsc.js:22926:56
      2    0.0%    0.1%  LazyCompile: ~getTypeFromClassOrInterfaceReference /app/node_modules/typescript/lib/tsc.js:25075:54
      2    0.0%    0.1%  LazyCompile: ~getTypeFacts /app/node_modules/typescript/lib/tsc.js:28926:30
      2    0.0%    0.1%  LazyCompile: ~getPropagatingFlagsOfTypes /app/node_modules/typescript/lib/tsc.js:25042:44
      2    0.0%    0.1%  LazyCompile: ~getNewLineCharacter /app/node_modules/typescript/lib/tsc.js:8430:33
      2    0.0%    0.1%  LazyCompile: ~getMembersOfSymbol /app/node_modules/typescript/lib/tsc.js:23788:36
      2    0.0%    0.1%  LazyCompile: ~getDeclarationOfKind /app/node_modules/typescript/lib/tsc.js:5631:34
      2    0.0%    0.1%  LazyCompile: ~finishNode /app/node_modules/typescript/lib/tsc.js:11368:28
      2    0.0%    0.1%  LazyCompile: ~filter /app/node_modules/typescript/lib/tsc.js:426:20
