Testing v8 version different from logging version
Statistical profiling result from isolate-0x55df67c161c0-v8.log, (31154 ticks, 186 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      4    0.0%    0.2%  LazyCompile: ~parsePostfixTypeOrHigher /app/node_modules/typescript/lib/tsc.js:14118:42
      4    0.0%    0.2%  LazyCompile: ~isIdenticalTo /app/node_modules/typescript/lib/tsc.js:32169:35
      4    0.0%    0.2%  LazyCompile: ~getTypeFromClassOrInterfaceReference /app/node_modules/typescript/lib/tsc.js:29829:54
      4    0.0%    0.2%  LazyCompile: ~getAnonymousTypeInstantiation /app/node_modules/typescript/lib/tsc.js:31423:47
      4    0.0%    0.2%  LazyCompile: ~checkParameter /app/node_modules/typescript/lib/tsc.js:40027:32
      4    0.0%    0.2%  LazyCompile: ~checkGrammarModifiers /app/node_modules/typescript/lib/tsc.js:44820:39
      4    0.0%    0.2%  LazyCompile: ~addTypeToUnion /app/node_modules/typescript/lib/tsc.js:30259:32
      4    0.0%    0.2%  LazyCompile: *realpathSync fs.js:1579:40
      4    0.0%    0.2%  LazyCompile: *parsePropertyNameWorker /app/node_modules/typescript/lib/tsc.js:12980:41
      4    0.0%    0.2%  LazyCompile: *parseParameter /app/node_modules/typescript/lib/tsc.js:13712:32
      4    0.0%    0.2%  LazyCompile: *getSymbolLinks /app/node_modules/typescript/lib/tsc.js:24386:32
      4    0.0%    0.2%  LazyCompile: *getDeclarationName /app/node_modules/typescript/lib/tsc.js:20706:36
      4    0.0%    0.2%  LazyCompile: *append /app/node_modules/typescript/lib/tsc.js:729:20
      4    0.0%    0.2%  LazyCompile: *addTypeToUnion /app/node_modules/typescript/lib/tsc.js:30259:32
      4    0.0%    0.2%  Builtin: StringPrototypeReplace
      3    0.0%    0.1%  Stub: StringAddStub {1}
      3    0.0%    0.1%  Stub: CEntryStub
      3    0.0%    0.1%  LazyCompile: ~watchPresentFileSystemEntry /app/node_modules/typescript/lib/tsc.js:2356:53
      3    0.0%    0.1%  LazyCompile: ~watchChildDirectories /app/node_modules/typescript/lib/tsc.js:2053:39
      3    0.0%    0.1%  LazyCompile: ~resolveAnonymousTypeMembers /app/node_modules/typescript/lib/tsc.js:28685:45
      3    0.0%    0.1%  LazyCompile: ~pathComponents /app/node_modules/typescript/lib/tsc.js:11262:28
      3    0.0%    0.1%  LazyCompile: ~parseUnionOrIntersectionType /app/node_modules/typescript/lib/tsc.js:14185:46
      3    0.0%    0.1%  LazyCompile: ~parseTag /app/node_modules/typescript/lib/tsc.js:16621:34
      3    0.0%    0.1%  LazyCompile: ~parseParameterList /app/node_modules/typescript/lib/tsc.js:13758:36
      3    0.0%    0.1%  LazyCompile: ~parseNonArrayType /app/node_modules/typescript/lib/tsc.js:14017:35
      3    0.0%    0.1%  LazyCompile: ~getWidenedTypeWithContext /app/node_modules/typescript/lib/tsc.js:33436:43
      3    0.0%    0.1%  LazyCompile: ~getUnionType /app/node_modules/typescript/lib/tsc.js:30354:30
      3    0.0%    0.1%  LazyCompile: ~getTypeOfVariableOrParameterOrProperty /app/node_modules/typescript/lib/tsc.js:27470:56
      3    0.0%    0.1%  LazyCompile: ~getTypeFromUnionTypeNode /app/node_modules/typescript/lib/tsc.js:30435:42
      3    0.0%    0.1%  LazyCompile: ~getTypeAliasInstantiation /app/node_modules/typescript/lib/tsc.js:29857:43
      3    0.0%    0.1%  LazyCompile: ~getSymbol /app/node_modules/typescript/lib/tsc.js:24399:27
      3    0.0%    0.1%  LazyCompile: ~getSignatureFromDeclaration /app/node_modules/typescript/lib/tsc.js:29418:45
      3    0.0%    0.1%  LazyCompile: ~getResolvedMembersOrExportsOfSymbol /app/node_modules/typescript/lib/tsc.js:28400:53
      3    0.0%    0.1%  LazyCompile: ~getDeclarationName /app/node_modules/typescript/lib/tsc.js:20706:36
      3    0.0%    0.1%  LazyCompile: ~getCombinedModifierFlags /app/node_modules/typescript/lib/tsc.js:9169:38
      3    0.0%    0.1%  LazyCompile: ~getAccessibleFileSystemEntries /app/node_modules/typescript/lib/tsc.js:2438:52
      3    0.0%    0.1%  LazyCompile: ~fsWatch /app/node_modules/typescript/lib/tsc.js:2338:29
      3    0.0%    0.1%  LazyCompile: ~fileSystemEntryExists /app/node_modules/typescript/lib/tsc.js:2472:43
      3    0.0%    0.1%  LazyCompile: ~checkTypeReferenceNode /app/node_modules/typescript/lib/tsc.js:40488:40
      3    0.0%    0.1%  LazyCompile: ~checkSignatureDeclaration /app/node_modules/typescript/lib/tsc.js:40136:43
      3    0.0%    0.1%  LazyCompile: ~bindContainer /app/node_modules/typescript/lib/tsc.js:20851:31
      3    0.0%    0.1%  LazyCompile: ~bind /app/node_modules/typescript/lib/tsc.js:22027:22
      3    0.0%    0.1%  LazyCompile: ~addJSDocComment /app/node_modules/typescript/lib/tsc.js:12643:33
      3    0.0%    0.1%  LazyCompile: ~aB native array.js:531:12
      3    0.0%    0.1%  LazyCompile: ~Join native array.js:119:14
      3    0.0%    0.1%  LazyCompile: ~FSWatcher fs.js:1348:19
      3    0.0%    0.1%  LazyCompile: *recursiveTypeRelatedTo /app/node_modules/typescript/lib/tsc.js:32397:44
